### Acordes
SOLlidia ['SOL', 'LA', 'SI', 'DO#', 'RE', 'MI', 'FA#']
SOLmixolidia ['SOL', 'LA', 'SI', 'DO', 'RE', 'MI', 'FA']
SOLeolica ['SOL', 'LA', 'LA#', 'DO', 'RE', 'RE#', 'FA']
SOLlocria ['SOL', 'SOL#', 'LA#', 'DO', 'DO#', 'RE#', 'FA']
SOL#jonica ['SOL#', 'LA#', 'DO', 'DO#', 'RE#', 'FA', 'SOL']
SOL#dorica ['SOL#', 'LA#', 'SI', 'DO#', 'RE#', 'FA', 'FA#']
SOL#frigia ['SOL#', 'LA', 'SI', 'DO#', 'RE#', 'MI', 'FA#']
SOL#lidia ['SOL#', 'LA#', 'DO', 'RE', 'RE#', 'FA', 'SOL']
SOL#mixolidia ['SOL#', 'LA#', 'DO', 'DO#', 'RE#', 'FA', 'FA#']
SOL#eolica ['SOL#', 'LA#', 'SI', 'DO#', 'RE#', 'MI', 'FA#']
SOL#locria ['SOL#', 'LA', 'SI', 'DO#', 'RE', 'MI', 'FA#']
LAjonica ['LA', 'SI', 'DO#', 'RE', 'MI', 'FA#', 'SOL#']
LAdorica ['LA', 'SI', 'DO', 'RE', 'MI', 'FA#', 'SOL']
LAfrigia ['LA', 'LA#', 'DO', 'RE', 'MI', 'FA', 'SOL']
LAlidia ['LA', 'SI', 'DO#', 'RE#', 'MI', 'FA#', 'SOL#']
LAmixolidia ['LA', 'SI', 'DO#', 'RE', 'MI', 'FA#', 'SOL']
LAeolica ['LA', 'SI', 'DO', 'RE', 'MI', 'FA', 'SOL']
LAlocria ['LA', 'LA#', 'DO', 'RE', 'RE#', 'FA', 'SOL']
LA#jonica ['LA#', 'DO', 'RE', 'RE#', 'FA', 'SOL', 'LA']
LA#dorica ['LA#', 'DO', 'DO#', 'RE#', 'FA', 'SOL', 'SOL#']
LA#frigia ['LA#', 'SI', 'DO#', 'RE#', 'FA', 'FA#', 'SOL#']
LA#lidia ['LA#', 'DO', 'RE', 'MI', 'FA', 'SOL', 'LA']
LA#mixolidia ['LA#', 'DO', 'RE', 'RE#', 'FA', 'SOL', 'SOL#']
LA#eolica ['LA#', 'DO', 'DO#', 'RE#', 'FA', 'FA#', 'SOL#']
LA#locria ['LA#', 'SI', 'DO#', 'RE#', 'MI', 'FA#', 'SOL#']
SIjonica ['SI', 'DO#', 'RE#', 'MI', 'FA#', 'SOL#', 'LA#']
SIdorica ['SI', 'DO#', 'RE', 'MI', 'FA#', 'SOL#', 'LA']
SIfrigia ['SI', 'DO', 'RE', 'MI', 'FA#', 'SOL', 'LA']
SIlidia ['SI', 'DO#', 'RE#', 'FA', 'FA#', 'SOL#', 'LA#']
SImixolidia ['SI', 'DO#', 'RE#', 'MI', 'FA#', 'SOL#', 'LA']
SIeolica ['SI', 'DO#', 'RE', 'MI', 'FA#', 'SOL', 'LA']
SIlocria ['SI', 'DO', 'RE', 'MI', 'FA', 'SOL', 'LA']


### Tonalidades
DOjonica ['DOM', 'REm', 'MIm', 'FAM', 'SOLM', 'LAm', 'SIdim']
DOdorica ['DOm', 'REm', 'RE#M', 'FAM', 'SOLm', 'LAdim', 'LA#M']
DOfrigia ['DOm', 'DO#M', 'RE#M', 'FAm', 'SOLdim', 'SOL#M', 'LA#m']
DOlidia ['DOM', 'REM', 'MIm', 'FA#dim', 'SOLM', 'LAm', 'SIm']
DOmixolidia ['DOM', 'REm', 'MIdim', 'FAM', 'SOLm', 'LAm', 'LA#M']
DOeolica ['DOm', 'REdim', 'RE#M', 'FAm', 'SOLm', 'SOL#M', 'LA#M']
DOlocria ['DOdim', 'DO#M', 'RE#m', 'FAm', 'FA#M', 'SOL#M', 'LA#m']
DO#jonica ['DO#M', 'RE#m', 'FAm', 'FA#M', 'SOL#M', 'LA#m', 'DOdim']
DO#dorica ['DO#m', 'RE#m', 'MIM', 'FA#M', 'SOL#m', 'LA#dim', 'SIM']
DO#frigia ['DO#m', 'REM', 'MIM', 'FA#m', 'SOL#dim', 'LAM', 'SIm']
DO#lidia ['DO#M', 'RE#M', 'FAm', 'SOLdim', 'SOL#M', 'LA#m', 'DOm']
DO#mixolidia ['DO#M', 'RE#m', 'FAdim', 'FA#M', 'SOL#m', 'LA#m', 'SIM']
DO#eolica ['DO#m', 'RE#dim', 'MIM', 'FA#m', 'SOL#m', 'LAM', 'SIM']
